invoicedate,usd_to_nis
2019-05-23 00:00:00+00,3.61329
2019-05-24 00:00:00+00,3.60526
2019-05-26 00:00:00+00,3.605523
2019-05-27 00:00:00+00,3.6036
2019-05-28 00:00:00+00,3.613037
2019-05-29 00:00:00+00,3.6165
2019-05-30 00:00:00+00,3.6327
2019-06-01 00:00:00+00,3.62803
2019-06-02 00:00:00+00,3.628113
2019-06-03 00:00:00+00,3.6243
2019-06-04 00:00:00+00,3.619425
2019-06-05 00:00:00+00,3.6039
2019-06-06 00:00:00+00,3.5962
2019-06-08 00:00:00+00,3.5756
2019-06-09 00:00:00+00,3.575278
2019-06-10 00:00:00+00,3.5791
2019-06-11 00:00:00+00,3.5812
2019-06-12 00:00:00+00,3.5826
2019-06-13 00:00:00+00,3.59965
2019-06-14 00:00:00+00,3.60065
2019-06-15 00:00:00+00,3.60065
2019-06-16 00:00:00+00,3.600618
2019-06-17 00:00:00+00,3.60965
2019-06-18 00:00:00+00,3.6106
2019-06-19 00:00:00+00,3.5962
2019-06-20 00:00:00+00,3.5829
2019-06-21 00:00:00+00,3.621725
2019-06-22 00:00:00+00,3.621725
2019-06-23 00:00:00+00,3.621744
2019-06-24 00:00:00+00,3.6011
2019-06-25 00:00:00+00,3.5928
2019-06-26 00:00:00+00,3.5887
2019-06-27 00:00:00+00,3.5727
2019-06-28 00:00:00+00,3.5667
2019-06-29 00:00:00+00,3.5667
2019-06-30 00:00:00+00,3.566616
2019-07-01 00:00:00+00,3.5739
2019-07-02 00:00:00+00,3.5734
2019-07-03 00:00:00+00,3.569
2019-07-04 00:00:00+00,3.5639
2019-07-05 00:00:00+00,3.57425
2019-07-06 00:00:00+00,3.57425
2019-07-07 00:00:00+00,3.5746
2019-07-08 00:00:00+00,3.5716
2019-07-09 00:00:00+00,3.56665
2019-07-10 00:00:00+00,3.55301
2019-07-11 00:00:00+00,3.5508
2019-07-12 00:00:00+00,3.5554
2019-07-13 00:00:00+00,3.5554
2019-07-14 00:00:00+00,3.555302
2019-07-15 00:00:00+00,3.53855
2019-07-16 00:00:00+00,3.5477
2019-07-18 00:00:00+00,3.5419
2019-07-19 00:00:00+00,3.53955
2019-07-21 00:00:00+00,3.539489
2019-07-22 00:00:00+00,3.5277
2019-07-23 00:00:00+00,3.53925
2019-07-25 00:00:00+00,3.5242
2019-07-26 00:00:00+00,3.52095
2019-07-27 00:00:00+00,3.52095
2019-07-28 00:00:00+00,3.52095
2019-07-29 00:00:00+00,3.5244
2019-07-30 00:00:00+00,3.4945
2019-07-31 00:00:00+00,3.4971
2019-08-01 00:00:00+00,3.5098
2019-08-02 00:00:00+00,3.4908
2019-08-03 00:00:00+00,3.4908
2019-08-04 00:00:00+00,3.490692
2019-08-05 00:00:00+00,3.488
2019-08-06 00:00:00+00,3.4843
2019-08-07 00:00:00+00,3.4796
2019-08-08 00:00:00+00,3.4766
2019-08-09 00:00:00+00,3.47798
2019-08-10 00:00:00+00,3.47798
2019-08-11 00:00:00+00,3.477959
2019-08-12 00:00:00+00,3.4751
2019-08-13 00:00:00+00,3.4821
2019-08-14 00:00:00+00,3.52055
2019-08-15 00:00:00+00,3.5321
2019-08-16 00:00:00+00,3.546213
2019-08-17 00:00:00+00,3.546213
2019-08-18 00:00:00+00,3.54632
2019-08-19 00:00:00+00,3.52425
2019-08-20 00:00:00+00,3.528
2019-08-21 00:00:00+00,3.52474
2019-08-22 00:00:00+00,3.5186
2019-08-23 00:00:00+00,3.51175
2019-08-24 00:00:00+00,3.51175
2019-08-25 00:00:00+00,3.511831
2019-08-26 00:00:00+00,3.521
2019-08-27 00:00:00+00,3.5198
2019-08-28 00:00:00+00,3.5331
2019-08-29 00:00:00+00,3.53185
2019-08-31 00:00:00+00,3.530475
2019-09-01 00:00:00+00,3.530704
2019-09-03 00:00:00+00,3.5391
2019-09-04 00:00:00+00,3.528395
2019-09-05 00:00:00+00,3.5159
2019-09-06 00:00:00+00,3.51825
2019-09-07 00:00:00+00,3.51825
2019-09-08 00:00:00+00,3.518281
2019-09-09 00:00:00+00,3.527
2019-09-11 00:00:00+00,3.5401
2019-09-12 00:00:00+00,3.5375
2019-09-13 00:00:00+00,3.5293
2019-09-14 00:00:00+00,3.5293
2019-09-15 00:00:00+00,3.529112
2019-09-16 00:00:00+00,3.545323
2019-09-17 00:00:00+00,3.54785
2019-09-18 00:00:00+00,3.5283
2019-09-19 00:00:00+00,3.51296
2019-09-20 00:00:00+00,3.52195
2019-09-22 00:00:00+00,3.521995
2019-09-23 00:00:00+00,3.5149
2019-09-24 00:00:00+00,3.49955
2019-09-25 00:00:00+00,3.5028
2019-09-27 00:00:00+00,3.482225
2019-09-29 00:00:00+00,3.481919
2019-09-30 00:00:00+00,3.47583
2019-10-01 00:00:00+00,3.48267
2019-10-03 00:00:00+00,3.4974
2019-10-04 00:00:00+00,3.4779
2019-10-05 00:00:00+00,3.4779
2019-10-06 00:00:00+00,3.478928
2019-10-07 00:00:00+00,3.50839
2019-10-09 00:00:00+00,3.50392
2019-10-10 00:00:00+00,3.5086
2019-10-11 00:00:00+00,3.5068
2019-10-12 00:00:00+00,3.5068
2019-10-13 00:00:00+00,3.505155
2019-10-14 00:00:00+00,3.51014
2019-10-15 00:00:00+00,3.5178
2019-10-16 00:00:00+00,3.53344
2019-10-17 00:00:00+00,3.53985
2019-10-18 00:00:00+00,3.54365
2019-10-19 00:00:00+00,3.54365
2019-10-20 00:00:00+00,3.54373
2019-10-21 00:00:00+00,3.5408
2019-10-23 00:00:00+00,3.5298
2019-10-24 00:00:00+00,3.53345
2019-10-25 00:00:00+00,3.53415
2019-10-26 00:00:00+00,3.53415
2019-10-27 00:00:00+00,3.53563
2019-10-28 00:00:00+00,3.53241
2019-10-29 00:00:00+00,3.52714
2019-10-30 00:00:00+00,3.52837
2019-10-31 00:00:00+00,3.523
2019-11-01 00:00:00+00,3.5251
2019-11-02 00:00:00+00,3.5251
2019-11-03 00:00:00+00,3.52554
2019-11-04 00:00:00+00,3.51325
2019-11-05 00:00:00+00,3.49457
2019-11-06 00:00:00+00,3.4884
2019-11-07 00:00:00+00,3.4968
2019-11-08 00:00:00+00,3.49362
2019-11-09 00:00:00+00,3.49362
2019-11-10 00:00:00+00,3.494036
2019-11-12 00:00:00+00,3.5037
2019-11-13 00:00:00+00,3.4935
2019-11-14 00:00:00+00,3.48305
2019-11-15 00:00:00+00,3.47225
2019-11-16 00:00:00+00,3.47225
2019-11-17 00:00:00+00,3.47313
2019-11-18 00:00:00+00,3.45625
2019-11-19 00:00:00+00,3.4621
2019-11-20 00:00:00+00,3.47215
2019-11-21 00:00:00+00,3.46082
2019-11-22 00:00:00+00,3.471615
2019-11-23 00:00:00+00,3.471615
2019-11-24 00:00:00+00,3.471123
2019-11-25 00:00:00+00,3.46555
2019-11-26 00:00:00+00,3.4666
2019-11-27 00:00:00+00,3.469634
2019-11-28 00:00:00+00,3.47664
2019-11-29 00:00:00+00,3.47062
2019-12-01 00:00:00+00,3.470876
2019-12-02 00:00:00+00,3.4731
2019-12-03 00:00:00+00,3.48476
2019-12-04 00:00:00+00,3.4717
2019-12-05 00:00:00+00,3.46501
2019-12-07 00:00:00+00,3.47165
2019-12-08 00:00:00+00,3.47105
2019-12-09 00:00:00+00,3.46874
2019-12-10 00:00:00+00,3.4751
2019-12-11 00:00:00+00,3.47635
2019-12-12 00:00:00+00,3.4806
2019-12-13 00:00:00+00,3.48307
2019-12-14 00:00:00+00,3.48307
2019-12-15 00:00:00+00,3.483014
2019-12-16 00:00:00+00,3.49738
2019-12-17 00:00:00+00,3.49158
2019-12-18 00:00:00+00,3.49729
2019-12-19 00:00:00+00,3.4814
2019-12-20 00:00:00+00,3.4753
2019-12-23 00:00:00+00,3.47515
2019-12-24 00:00:00+00,3.4746
2019-12-25 00:00:00+00,3.4746
2019-12-26 00:00:00+00,3.47006
2019-12-27 00:00:00+00,3.45834
2019-12-28 00:00:00+00,3.45834
2019-12-29 00:00:00+00,3.458332
2019-12-31 00:00:00+00,3.4542
2020-01-01 00:00:00+00,3.4542
2020-01-02 00:00:00+00,3.45072
2020-01-03 00:00:00+00,3.47405
2020-01-05 00:00:00+00,3.47369
2020-01-06 00:00:00+00,3.47355
2020-01-07 00:00:00+00,3.46814
2020-01-08 00:00:00+00,3.46493
2020-01-09 00:00:00+00,3.46761
2020-01-10 00:00:00+00,3.46475
2020-01-11 00:00:00+00,3.46475
2020-01-12 00:00:00+00,3.46479
2020-01-13 00:00:00+00,3.4667
2020-01-14 00:00:00+00,3.4608
2020-01-15 00:00:00+00,3.4559
2020-01-16 00:00:00+00,3.4549
2020-01-17 00:00:00+00,3.45469
2020-01-18 00:00:00+00,3.45469
2020-01-19 00:00:00+00,3.45465
2020-01-20 00:00:00+00,3.45643
2020-01-21 00:00:00+00,3.45624
2020-01-22 00:00:00+00,3.4617
2020-01-23 00:00:00+00,3.45604
2020-01-24 00:00:00+00,3.45495
2020-01-25 00:00:00+00,3.45495
2020-01-26 00:00:00+00,3.45491
2020-01-27 00:00:00+00,3.4597
2020-01-28 00:00:00+00,3.4539
2020-01-29 00:00:00+00,3.45232
2020-01-30 00:00:00+00,3.45143
2020-01-31 00:00:00+00,3.4485
2020-02-02 00:00:00+00,3.4484
2020-02-03 00:00:00+00,3.44558
2020-02-04 00:00:00+00,3.44724
2020-02-05 00:00:00+00,3.4411
2020-02-06 00:00:00+00,3.4301
2020-02-07 00:00:00+00,3.42888
2020-02-08 00:00:00+00,3.42888
2020-02-09 00:00:00+00,3.428576
2020-02-10 00:00:00+00,3.421962
2020-02-12 00:00:00+00,3.43342
2020-02-13 00:00:00+00,3.42377
2020-02-14 00:00:00+00,3.42706
2020-02-15 00:00:00+00,3.42706
2020-02-16 00:00:00+00,3.427068
2020-02-17 00:00:00+00,3.42405
2020-02-18 00:00:00+00,3.419718
2020-02-19 00:00:00+00,3.42638
2020-02-20 00:00:00+00,3.42537
2020-02-22 00:00:00+00,3.41698
2020-02-23 00:00:00+00,3.41678
